Player,Unnamed: 0,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Drew Eubanks,77,C,24,POR,18,18,29.2,6.1,9.3,0.649,0.2,0.6,0.273,5.9,8.7,0.675,0.658,1.8,2.3,0.78,3.3,5.4,8.7,1.8,0.7,0.4,1.5,2.6,14.1
Dorian Finney-Smith,78,PF,28,DAL,76,76,33.1,4.0,8.7,0.462,2.1,5.4,0.386,1.9,3.3,0.588,0.582,0.7,1.1,0.667,1.6,3.2,4.8,1.8,1.1,0.5,1.0,2.3,10.9
Evan Fournier,79,SG,29,NYK,76,76,29.7,5.1,12.2,0.421,3.1,7.8,0.395,2.1,4.4,0.467,0.547,1.0,1.5,0.712,0.4,2.2,2.6,2.1,1.0,0.2,1.4,2.2,14.4
Danilo Gallinari,81,PF,33,ATL,63,15,25.0,3.7,8.8,0.425,1.6,4.3,0.37,2.1,4.5,0.479,0.516,2.2,2.4,0.903,0.5,4.1,4.6,1.6,0.4,0.2,0.5,1.4,11.3
Josh Giddey,84,SG,19,OKC,54,54,31.5,5.2,12.4,0.419,1.0,3.9,0.263,4.2,8.5,0.492,0.461,1.0,1.5,0.709,1.8,6.0,7.8,6.4,0.9,0.4,3.2,1.6,12.5
Aaron Gordon,87,PF,26,DEN,72,72,31.5,5.7,11.0,0.517,1.1,3.4,0.328,4.6,7.6,0.603,0.568,2.2,3.0,0.742,1.7,4.1,5.7,2.5,0.6,0.6,1.8,2.0,14.8
Eric Gordon,88,SG,33,HOU,57,46,29.3,4.7,9.9,0.475,2.2,5.3,0.412,2.5,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2.0,2.7,0.5,0.3,1.9,1.1,13.4
Devonte' Graham,89,PG,26,NOP,72,61,29.0,4.0,11.0,0.361,2.6,7.6,0.342,1.4,3.4,0.402,0.479,1.6,1.8,0.842,0.5,1.9,2.4,4.2,0.9,0.2,1.4,1.3,12.1
Danny Green,91,SF,34,PHI,57,25,21.6,2.0,5.1,0.388,1.6,4.3,0.368,0.4,0.8,0.5,0.545,0.2,0.2,0.833,0.5,1.9,2.4,0.9,0.9,0.6,0.7,1.7,5.7
Draymond Green,92,PF,31,GSW,42,40,29.1,2.9,5.5,0.519,0.3,1.2,0.26,2.5,4.3,0.591,0.548,1.4,2.1,0.652,1.0,6.3,7.4,7.0,1.3,1.1,3.0,2.9,7.4
Javonte Green,94,SF,28,CHI,61,44,23.3,2.7,5.0,0.543,0.6,1.5,0.362,2.1,3.4,0.625,0.599,1.3,1.5,0.83,1.4,2.8,4.2,0.9,1.0,0.5,0.5,2.1,7.2
Rui Hachimura,96,PF,23,WAS,37,8,21.3,4.3,8.5,0.5,1.3,2.8,0.471,3.0,5.8,0.514,0.576,1.1,1.4,0.75,0.6,3.1,3.6,1.1,0.6,0.2,0.8,1.2,10.9
R.J. Hampton,98,SG,20,ORL,60,12,21.3,2.6,6.8,0.384,1.0,2.8,0.353,1.6,4.0,0.406,0.457,1.1,1.8,0.63,0.3,2.6,3.0,2.3,0.7,0.2,1.3,1.6,7.3
Tim Hardaway Jr.,99,SG,29,DAL,42,20,29.6,5.0,12.6,0.394,2.4,7.2,0.336,2.5,5.4,0.473,0.491,1.9,2.5,0.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2
Montrezl Harrell,101,C,28,CHO,22,0,20.9,4.3,6.9,0.618,0.0,0.1,0.0,4.3,6.8,0.627,0.618,2.8,4.0,0.693,2.2,2.9,5.1,2.0,0.4,0.4,0.8,2.0,11.3
Gary Harris,102,SG,27,ORL,61,30,28.4,3.9,9.1,0.434,1.9,5.0,0.384,2.0,4.1,0.494,0.539,1.4,1.6,0.874,0.6,1.4,2.0,1.8,1.0,0.1,1.0,1.8,11.1
Joe Harris,103,SF,30,BRK,14,14,30.2,4.0,8.9,0.452,2.9,6.3,0.466,1.1,2.6,0.417,0.617,0.4,0.4,0.833,0.4,3.6,4.0,1.0,0.5,0.1,1.1,2.2,11.3
Killian Hayes,106,PG,20,DET,62,36,25.1,2.6,6.9,0.384,0.6,2.5,0.261,2.0,4.4,0.452,0.431,0.8,1.1,0.765,0.6,2.7,3.3,4.3,1.2,0.5,1.8,2.8,6.7
George Hill,110,SG,35,MIL,50,17,23.7,2.3,5.3,0.43,0.8,2.6,0.313,1.5,2.7,0.541,0.506,1.0,1.1,0.911,0.7,2.2,2.9,2.3,0.8,0.1,0.8,1.3,6.3
Justin Holiday,112,SG,32,SAC,21,21,26.1,2.8,8.4,0.328,1.9,6.1,0.302,0.9,2.3,0.396,0.438,0.8,1.0,0.762,0.5,1.8,2.2,1.4,0.8,0.7,0.9,2.0,8.1
Richaun Holmes,113,C,28,SAC,45,37,23.9,4.4,6.7,0.66,0.0,0.1,0.4,4.4,6.6,0.664,0.663,1.6,2.0,0.778,2.1,5.0,7.0,1.1,0.4,0.9,1.2,2.8,10.4
Al Horford,114,C,35,BOS,66,66,29.1,3.8,8.3,0.457,1.3,3.9,0.325,2.5,4.4,0.572,0.533,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,1.0,1.9,10.0
Talen Horton-Tucker,115,SG,21,LAL,55,16,25.2,3.6,8.6,0.415,0.8,3.0,0.271,2.8,5.6,0.492,0.462,1.4,1.9,0.775,0.6,2.5,3.2,2.6,0.9,0.5,1.4,2.5,9.4
Kevin Huerter,116,SG,23,ATL,70,56,29.5,4.6,10.3,0.452,2.1,5.5,0.388,2.5,4.7,0.527,0.556,0.6,0.7,0.8,0.4,2.9,3.4,2.7,0.7,0.4,1.3,2.5,12.0
De'Andre Hunter,117,SF,24,ATL,49,48,29.7,4.8,10.7,0.448,1.4,3.7,0.372,3.4,7.0,0.488,0.512,2.4,3.1,0.76,0.5,2.9,3.3,1.3,0.7,0.4,1.3,2.9,13.4
Joe Ingles,118,SF,34,UTA,45,15,24.9,2.6,6.3,0.404,1.7,5.0,0.347,0.8,1.3,0.617,0.54,0.4,0.5,0.773,0.3,2.6,2.9,3.5,0.5,0.1,1.0,1.8,7.2
Frank Jackson,121,PG,23,DET,49,5,21.9,3.7,9.1,0.404,1.7,5.3,0.313,2.0,3.8,0.532,0.496,1.5,1.9,0.824,0.3,1.2,1.6,1.0,0.5,0.2,0.7,1.7,10.6
Cameron Johnson,125,PF,25,PHO,61,13,26.2,4.3,9.1,0.471,2.6,5.9,0.444,1.7,3.2,0.52,0.615,1.5,1.7,0.865,0.6,3.5,4.1,1.5,0.8,0.2,0.6,1.7,12.6
Herbert Jones,130,PF,23,NOP,74,65,30.1,3.6,7.4,0.477,0.7,2.1,0.34,2.8,5.3,0.533,0.526,1.7,2.1,0.842,1.2,2.6,3.8,2.2,1.7,0.8,1.3,3.1,9.6
Tyus Jones,131,PG,25,MEM,70,21,21.0,3.4,7.5,0.452,1.1,2.8,0.381,2.3,4.7,0.495,0.524,0.8,0.9,0.818,0.2,2.2,2.5,4.4,0.9,0.0,0.6,0.4,8.6
Cory Joseph,132,PG,30,DET,65,39,24.6,2.7,6.2,0.445,1.0,2.4,0.414,1.7,3.7,0.465,0.526,1.5,1.7,0.885,0.4,2.2,2.7,3.6,0.6,0.3,1.3,2.3,8.0
